Unique_Author,File_changed,Insertions,Deletions,Issue
Peng Wang,484,20065,9707,0
Parker Schuh,60,2186,175,0
Dimitris Vardoulakis,406,6530,3226,0
Pete Warden,2352,108811,25570,5
Dawid Wojciechowski,3,5,5,0
Doe Hyun Yoon,105,4596,1561,0
Eugene Kuznetsov,193,2245,1511,0
Ewa Matejska,2,37,0,0
Ron Shapiro,6,101,71,1
Tom Hennigan,368,5330,2325,0
Chen Qian,28,819,138,0
Stephan Lee,50,1119,120,0
Peter Ma,84,3835,2721,0
Trevor Gale,4,7,0,0
Guangda Lai,1138,49369,22134,1
Frederic Rechtenstein,76,1606,1635,0
Orivej Desh,2,3,3,0
Zeno Gantner,12,33,52,0
CyanXu,13,157,143,0
Waqar Hameed,2,21,0,0
Maxiwell S. Garcia,2,16,0,0
Andrew Goodbody,2,4,0,0
Juho Ha,110,3073,776,0
ShengYang1,81,2482,1324,1
Yanhua Sun,409,5621,3412,13
Ashish Jha,1,0,0,0
Julien STEPHAN,1,0,0,0
Jasmijn Bastings,1,0,0,0
Mahesh Ravishankar,422,15835,4425,0
Gil Tabak,8,237,61,0
Haiming Bao,10,393,36,0
Sergii Khomenko,66,455,152,1
Mikhail Stepanov,5,34,19,0
Colin Carroll,6,31,2,0
Rohit Santhanam,64,428,388,0
Ben,15,166,121,0
Tzu-Wei Sung,193,4289,1554,0
Andiry Xu,40,1461,293,0
annarev,10,167,12,0
Michael Kuperstein,368,6661,2826,0
Srinivasan Narayanamoorthy,70,1032,838,0
Michal Szutenberg,2,14,6,0
Tiezhen WANG,371,5142,2003,6
Võ Văn Nghĩa,194,3799,3935,0
Stephan,35,1690,1304,0
Quintin,14,437,82,0
Bairen Yi,89,2539,652,0
Junha Park,1,0,2,0
Marius Brehler,7,20,11,0
Frederick Liu,3,40,17,0
ksood12345,1,0,0,0
Sung Jin Hwang,115,4074,473,0
justkw,8,29,17,0
Omri Steiner,4,73,45,0
puneeshkhanna,2,7,7,0
AG Ramesh,175,1510,1958,1
Chris Olivier,1,2,2,0
Keith Rush,16,430,137,0
Bastiaan Aarts,4,20,13,0
Piotr Zierhoffer,1,0,0,0
Michael Gielda,6,43,19,0
WindQAQ,54,786,484,0
Yunlu Li,373,12983,2048,0
Sai Ganesh Bandiatmakuri,7,314,150,0
Simon Maurer,2,4,4,0
Anirudh Sriram,50,700,768,0
Guillaume Klein,26,534,48,1
youshenmebutuo,1,0,0,0
Nico Jahn,1,0,0,0
Harry Slatyer,9,73,35,0
Maozhou Ge,2,15,14,0
Zhuoran Liu,27,538,133,0
Xunkai Zhang,164,4103,11005,0
Vinayaka Bandishti,2,14,5,0
Alex Stark,289,22371,6573,0
Revan Sopher,291,4860,2455,0
Scott Wegner,29,230,55,0
Eric Spishak-Thomas,3,30,16,0
viktprog,1,5,0,0
Scott Main,20,994,754,0
Rehan Guha,2,8,7,0
Mao Yunfei,14,236,78,0
Jungshik Jang,2,2,2,0
Marconi Jiang,1,0,0,0
Sean Moriarity,1,0,0,0
gerbauz,32,985,751,0
Håkon Sandsmark,8,47,6,0
marconi1964,1,0,0,0
Ryan Kuester,47,1479,404,0
Paul Klinger,2,22,9,0
Jonathan Shen,29,651,513,0
Phoenix Meadowlark,10,107,2,0
pnikam-cad,2,4,4,0
Scott Tseng,15,86,40,0
Suxin Guo,1,0,0,0
Mingsheng Hong,228,12867,1451,0
Behzad Abghari,1,4,2,0
zhuyie,3,76,7,0
Marissa Ikonomidis,107,787,310,0
Takayoshi Koizumi,12,599,0,0
Oceania2018,24,235,83,0
Harry Zhang,1,4,2,0
8bitmp3,11,21,16,0
Summer Yue,1,0,0,0
mbhuiyan,64,1845,1777,0
Ayush Dubey,688,18328,8360,0
Taebum Kim,1,2,0,0
Hongkun Yu,25,199,112,0
Jaehong Kim,24,125,53,0
David Davis,16,1321,597,0
Yanhui Liang,412,9558,4535,0
Suraj Upadhyay,2,4,2,0
Abolfazl Shahbazi,309,8319,1401,0
Vincent ABRIOU,8,5,8,1
Xinan Jiang,79,2619,1239,0
Stephen Matthews,1,2,2,0
Anh Tuan Nguyen,1,5,4,0
David Kao,13,93,88,0
Jin Young Sohn,19,665,275,0
Christina Sorokin,15,17,101,0
Lei Zhang,1834,48110,19105,0
Ayan Moitra,2,11,0,0
Alfie Edwards,14,114,20,0
Etienne Pot,12,90,7,0
Mohamed Nour Abouelseoud,37,355,6,0
Xiao Yang,1,3,0,0
fo40225,64,353,270,0
Eli Osherovich,1,0,0,0
yair_ehrenwald,9,372,2068,0
Måns Bermell,1,14,0,0
Harsh188,20,239,81,0
Traun Leyden,1,0,0,0
rmothukuru,9,64,49,0
Sami Kama,596,18105,7772,6
Natanael,3,8,15,0
Liangzhe Yuan,1,0,0,0
ravikyram,2,0,2,0
Matej,1,2,0,0
Jingyue Wu,210,4271,928,0
Simrit,2,0,48,0
Artemiy Ryabinkov,1,18,0,0
Mark Sandler,4,121,78,0
Jens Elofsson,169,7807,4568,0
wangsiyu,48,661,216,0
henri,2,0,0,0
RJ Skerry-Ryan,113,2677,2227,0
Nathan Luehr,201,47109,15794,0
Benjamin Klimczak,9,118,16,0
Matej Rizman,41,1367,475,0
Daniel Moore,1,0,0,0
kushanam,94,1169,686,0
Chunxiang (Jake) Zheng,2,3,0,0
Jeremy Lau,189,3141,2776,2
Corey Cole,3,2,2,0
Yun Peng,323,3159,1527,1
Phat Tran,1,3,3,0
Eugene Brevdo,3805,130068,47211,1
Bramandia Ramadhana,29,318,55,1
TVLIgnacy,1,0,0,0
Abhinav Upadhyay,4,2,4,0
Mehmet Deveci,30,906,520,0
Sean Silva,417,10240,3016,0
rposts,9,95,4,0
Mitchel Humpherys,1,6,3,0
Jia Fu Low,1,4,4,0
rsun-bdti,1,0,123,0
Kazuaki Ishizaki,1335,2673,2665,0
kashyapraval,1,0,0,0
mdfaijul,137,5809,4161,0
ganand1,10,297,47,0
Keith Mok,1,0,0,0
Martin Kubovčík,11,65,34,0
Bart Ribbers,1,3,3,0
ewsn1593,1,0,0,0
machineko,2,14,4,0
Junhyuk So,1,0,0,0
Dean Wyatte,2,164,22,0
dependabot[bot],3,0,0,0
Ikko Ashimine,2,0,0,0
Chris Leary,383,8692,3018,0
ather,5,867,860,0
Dominic Jack,9,35,15,0
Vikram Dattu,16,146,42,1
vaibhav,5,46,2,0
yunfeima,40,462,103,0
Teng Lu,49,669,432,2
yqtianust,1,0,0,0
Oskar Flordal,3,3,3,0
Jae H. Yoo,46,570,274,0
mazharul,11,271,300,0
Samuel Marks,148,834,829,0
Chris Kennelly,37,86,80,0
Dong Lin,192,3789,651,1
jpodivin,4,27,22,0
Erik Smistad,10,62,28,2
Simrit Kaur,1,0,22,0
Jakub Jatczak,56,352,358,0
Mingxing Tan,195,8048,2130,0
Robert Suderman,172,6205,1138,2
Mazhar,3,18,18,0
Anna R,5592,147551,82095,2
Victor de Souza,13,714,272,0
Thomas Joerg,350,7180,2819,0
Sidong-Wei,32,168,48,1
Yosshi999,1,0,0,0
Prateek Gupta,19,400,238,0
Alexander Grund,60,739,492,1
Georgiy Manuilov,5,44,14,0
TomWildenhain-Microsoft,1,0,0,0
latyas,2,5,5,0
Marcin Juszkiewicz,1,2,2,0
Wang Yanzhang,6,292,99,0
Jared Smolens,14,2983,2318,0
Jab Hofmeier,1,6,0,0
James Qin,250,12649,4609,4
Yifeng Cui,1,0,0,0
Jungsub Lim,1,0,0,0
shwetaoj,22,181,59,0
Can Wang,1,2,2,0
Jenny Plunkett,2,6,6,0
Phil Stahlfeld,46,1306,547,0
Denisa Roberts,9,75,26,0
icysapphire,1,3,3,0
Zhenyu Tan,1297,51096,25653,1
Hollow Man,2,7,4,0
Maria Vexlard,1,15,0,0
Milan Straka,16,305,27,0
Clemens Giuliani,10,20,19,0
Aman Kishore,3,23,23,0
Lucy Fox,188,4745,1402,0
Vivek Panyam,2,3,0,0
Pravin Karandikar,2,24,17,0
Yajush Vyas,2,0,0,0
Trevor Cai,8,68,218,0
James Bernardi,1,9,5,0
Roger Cheng,2,33,5,0
Jeffrey A. Dean,87,3225,1623,0
Priya Gupta,468,9726,4342,2
Rui Huang,2,0,0,0
ryanking13,2,2,2,0
kopytjuk,1,54,28,0
Andrzej Pomirski,1,0,0,0
Pavithra Vijay,3694,66869,22319,11
Yiming Zhang,1,0,0,0
Simrit-Kaur,2,7,0,0
Aaron S. Mondal,1,0,0,0
Nick Johnston,2,2,0,0
Dmitry Volodin,208,499,483,0
Mohamed Moselhy,3,6,4,0
Cloud Han,5,42,4,0
qqq.jq,18,372,179,0
Yuta Fukasawa,2,6,3,0
Ben Vanik,22,630,129,0
Peter Buchlovsky,80,788,396,0
Pedro Gonnet,3,12,13,0
gbaned,2,20,5,0
Jacob Valdez,1,0,0,0
Sergey Popov,2,9,0,0
Vishakha Agrawal,17,76,60,0
Felix Fent,9,223,118,1
Michael Kuchnik,66,429,284,0
Yuan Tang,6,50,103,0
Luca Versari,1,28,19,0
Albert Villanova del Moral,6,14,14,0
Alexander Bayandin,4,30,0,0
Will Cromar,2,14,12,0
Brendan Collins,4,29,6,0
Maxwell Bileschi,2,3,3,0
firejq,8,123,188,0
Vladimir Silyaev,5,78,39,0
Jason Zaman,240,3243,639,0
Aleksey Vitebskiy,25,568,211,0
Sungmann Cho,15,28,28,0
I Wayan Dharmana,1,0,0,0
marload,19,166,111,0
Anjali Sridhar,685,34038,9449,2
Nicolas Vasilache,2506,71971,36987,3
Elena Zhelezina,373,6511,2571,0
oujiafan,1,0,7,0
Mateusz Holenko,1,0,0,0
Lequn Chen,1,0,0,0
ahmedsabie,33,360,259,0
Chenliang Xu,6,14,23,0
James Keeling,182,3923,733,0
rhdong,7,124,16,0
dushuai,1,0,2,0
Kristian Hartikainen,4,8,7,0
Akshay Modi,1944,47640,25820,3
Pawel Piskorski,6,30,0,0
Abhishek Kulkarni,19,18,840,0
Reed,78,1334,569,0
Liam Miller-Cushon,3,27,24,0
yuanbopeng,28,239,95,0
Tyler Davis,17,164,43,0
OscarVanL,1,0,0,0
Gunhan Gulsoy,5784,129549,510064,2
Jianwei Xie,1038,38638,21000,2
evaderan-lab,1,0,0,0
Michelle Casbon,7,215,0,0
Long M. Lưu,1,0,0,0
Abdullah Rashwan,1,3,4,0
